Time per request:       114.542 [ms] (mean, across all concurrent requests)
Time per request:       106.417 [ms] (mean, across all concurrent requests)
Time per request:       106.446 [ms] (mean, across all concurrent requests)
Time per request:       106.449 [ms] (mean, across all concurrent requests)
Time per request:       106.454 [ms] (mean, across all concurrent requests)
Time per request:       106.445 [ms] (mean, across all concurrent requests)
Time per request:       107.078 [ms] (mean, across all concurrent requests)
Time per request:       106.653 [ms] (mean, across all concurrent requests)
Time per request:       106.448 [ms] (mean, across all concurrent requests)
Time per request:       106.539 [ms] (mean, across all concurrent requests)
Time per request:       106.462 [ms] (mean, across all concurrent requests)
Time per request:       106.440 [ms] (mean, across all concurrent requests)
Time per request:       106.503 [ms] (mean, across all concurrent requests)
Time per request:       106.442 [ms] (mean, across all concurrent requests)
Time per request:       106.528 [ms] (mean, across all concurrent requests)
Time per request:       106.460 [ms] (mean, across all concurrent requests)
Time per request:       106.653 [ms] (mean, across all concurrent requests)
Time per request:       106.422 [ms] (mean, across all concurrent requests)
Time per request:       106.444 [ms] (mean, across all concurrent requests)
Time per request:       106.547 [ms] (mean, across all concurrent requests)
Time per request:       106.441 [ms] (mean, across all concurrent requests)
Time per request:       106.475 [ms] (mean, across all concurrent requests)
Time per request:       106.540 [ms] (mean, across all concurrent requests)
Time per request:       106.654 [ms] (mean, across all concurrent requests)
Time per request:       106.445 [ms] (mean, across all concurrent requests)
Time per request:       106.445 [ms] (mean, across all concurrent requests)
Time per request:       106.442 [ms] (mean, across all concurrent requests)
Time per request:       106.550 [ms] (mean, across all concurrent requests)
Time per request:       106.565 [ms] (mean, across all concurrent requests)
Time per request:       106.564 [ms] (mean, across all concurrent requests)
Time per request:       106.443 [ms] (mean, across all concurrent requests)
Time per request:       105.514 [ms] (mean, across all concurrent requests)
Time per request:       105.408 [ms] (mean, across all concurrent requests)
Time per request:       105.603 [ms] (mean, across all concurrent requests)
Time per request:       105.435 [ms] (mean, across all concurrent requests)
Time per request:       105.430 [ms] (mean, across all concurrent requests)
Time per request:       105.503 [ms] (mean, across all concurrent requests)
Time per request:       105.525 [ms] (mean, across all concurrent requests)
Time per request:       105.437 [ms] (mean, across all concurrent requests)
Time per request:       105.435 [ms] (mean, across all concurrent requests)
Time per request:       105.436 [ms] (mean, across all concurrent requests)
Time per request:       105.422 [ms] (mean, across all concurrent requests)
Time per request:       105.679 [ms] (mean, across all concurrent requests)
Time per request:       105.512 [ms] (mean, across all concurrent requests)
Time per request:       105.514 [ms] (mean, across all concurrent requests)
Time per request:       105.434 [ms] (mean, across all concurrent requests)
Time per request:       105.424 [ms] (mean, across all concurrent requests)
Time per request:       105.430 [ms] (mean, across all concurrent requests)
Time per request:       105.519 [ms] (mean, across all concurrent requests)
Time per request:       105.431 [ms] (mean, across all concurrent requests)
Time per request:       105.526 [ms] (mean, across all concurrent requests)
Time per request:       105.446 [ms] (mean, across all concurrent requests)
Time per request:       105.416 [ms] (mean, across all concurrent requests)
Time per request:       105.599 [ms] (mean, across all concurrent requests)
Time per request:       105.446 [ms] (mean, across all concurrent requests)
Time per request:       105.534 [ms] (mean, across all concurrent requests)
Time per request:       105.509 [ms] (mean, across all concurrent requests)
Time per request:       105.526 [ms] (mean, across all concurrent requests)
Time per request:       105.421 [ms] (mean, across all concurrent requests)
Time per request:       105.433 [ms] (mean, across all concurrent requests)
Time per request:       105.500 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.843 [ms] (mean, across all concurrent requests)
Time per request:       104.837 [ms] (mean, across all concurrent requests)
Time per request:       104.834 [ms] (mean, across all concurrent requests)
Time per request:       104.841 [ms] (mean, across all concurrent requests)
Time per request:       104.835 [ms] (mean, across all concurrent requests)
Time per request:       104.885 [ms] (mean, across all concurrent requests)
Time per request:       104.822 [ms] (mean, across all concurrent requests)
Time per request:       104.831 [ms] (mean, across all concurrent requests)
Time per request:       104.934 [ms] (mean, across all concurrent requests)
Time per request:       104.896 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.889 [ms] (mean, across all concurrent requests)
Time per request:       104.825 [ms] (mean, across all concurrent requests)
Time per request:       104.869 [ms] (mean, across all concurrent requests)
Time per request:       104.953 [ms] (mean, across all concurrent requests)
Time per request:       104.818 [ms] (mean, across all concurrent requests)
Time per request:       104.829 [ms] (mean, across all concurrent requests)
Time per request:       104.829 [ms] (mean, across all concurrent requests)
Time per request:       104.824 [ms] (mean, across all concurrent requests)
Time per request:       104.955 [ms] (mean, across all concurrent requests)
Time per request:       104.888 [ms] (mean, across all concurrent requests)
Time per request:       104.854 [ms] (mean, across all concurrent requests)
Time per request:       104.829 [ms] (mean, across all concurrent requests)
Time per request:       104.828 [ms] (mean, across all concurrent requests)
Time per request:       104.832 [ms] (mean, across all concurrent requests)
Time per request:       104.828 [ms] (mean, across all concurrent requests)
Time per request:       104.834 [ms] (mean, across all concurrent requests)
Time per request:       104.826 [ms] (mean, across all concurrent requests)
Time per request:       104.957 [ms] (mean, across all concurrent requests)
