Time per request:       114.936 [ms] (mean, across all concurrent requests)
Time per request:       105.536 [ms] (mean, across all concurrent requests)
Time per request:       105.507 [ms] (mean, across all concurrent requests)
Time per request:       105.510 [ms] (mean, across all concurrent requests)
Time per request:       105.524 [ms] (mean, across all concurrent requests)
Time per request:       105.431 [ms] (mean, across all concurrent requests)
Time per request:       105.421 [ms] (mean, across all concurrent requests)
Time per request:       105.433 [ms] (mean, across all concurrent requests)
Time per request:       105.436 [ms] (mean, across all concurrent requests)
Time per request:       105.510 [ms] (mean, across all concurrent requests)
Time per request:       105.509 [ms] (mean, across all concurrent requests)
Time per request:       105.577 [ms] (mean, across all concurrent requests)
Time per request:       105.512 [ms] (mean, across all concurrent requests)
Time per request:       105.434 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.830 [ms] (mean, across all concurrent requests)
Time per request:       104.946 [ms] (mean, across all concurrent requests)
Time per request:       104.802 [ms] (mean, across all concurrent requests)
Time per request:       104.830 [ms] (mean, across all concurrent requests)
Time per request:       104.889 [ms] (mean, across all concurrent requests)
Time per request:       104.810 [ms] (mean, across all concurrent requests)
Time per request:       104.897 [ms] (mean, across all concurrent requests)
Time per request:       104.802 [ms] (mean, across all concurrent requests)
Time per request:       104.884 [ms] (mean, across all concurrent requests)
Time per request:       104.826 [ms] (mean, across all concurrent requests)
Time per request:       104.960 [ms] (mean, across all concurrent requests)
Time per request:       104.886 [ms] (mean, across all concurrent requests)
Time per request:       105.024 [ms] (mean, across all concurrent requests)
Time per request:       104.951 [ms] (mean, across all concurrent requests)
Time per request:       104.824 [ms] (mean, across all concurrent requests)
Time per request:       104.828 [ms] (mean, across all concurrent requests)
Time per request:       104.835 [ms] (mean, across all concurrent requests)
Time per request:       104.893 [ms] (mean, across all concurrent requests)
Time per request:       104.886 [ms] (mean, across all concurrent requests)
Time per request:       104.951 [ms] (mean, across all concurrent requests)
Time per request:       104.887 [ms] (mean, across all concurrent requests)
Time per request:       104.928 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.826 [ms] (mean, across all concurrent requests)
Time per request:       104.927 [ms] (mean, across all concurrent requests)
Time per request:       104.916 [ms] (mean, across all concurrent requests)
Time per request:       104.820 [ms] (mean, across all concurrent requests)
Time per request:       105.083 [ms] (mean, across all concurrent requests)
Time per request:       104.824 [ms] (mean, across all concurrent requests)
