Time per request:       114.976 [ms] (mean, across all concurrent requests)
Time per request:       106.778 [ms] (mean, across all concurrent requests)
Time per request:       106.732 [ms] (mean, across all concurrent requests)
Time per request:       106.635 [ms] (mean, across all concurrent requests)
Time per request:       106.549 [ms] (mean, across all concurrent requests)
Time per request:       106.998 [ms] (mean, across all concurrent requests)
Time per request:       106.479 [ms] (mean, across all concurrent requests)
Time per request:       106.685 [ms] (mean, across all concurrent requests)
Time per request:       106.501 [ms] (mean, across all concurrent requests)
Time per request:       106.530 [ms] (mean, across all concurrent requests)
Time per request:       105.751 [ms] (mean, across all concurrent requests)
Time per request:       105.602 [ms] (mean, across all concurrent requests)
Time per request:       105.477 [ms] (mean, across all concurrent requests)
Time per request:       105.564 [ms] (mean, across all concurrent requests)
Time per request:       105.865 [ms] (mean, across all concurrent requests)
Time per request:       105.508 [ms] (mean, across all concurrent requests)
Time per request:       105.631 [ms] (mean, across all concurrent requests)
Time per request:       105.876 [ms] (mean, across all concurrent requests)
Time per request:       105.673 [ms] (mean, across all concurrent requests)
Time per request:       105.579 [ms] (mean, across all concurrent requests)
Time per request:       105.800 [ms] (mean, across all concurrent requests)
Time per request:       105.762 [ms] (mean, across all concurrent requests)
Time per request:       105.419 [ms] (mean, across all concurrent requests)
Time per request:       105.591 [ms] (mean, across all concurrent requests)
Time per request:       105.410 [ms] (mean, across all concurrent requests)
Time per request:       105.497 [ms] (mean, across all concurrent requests)
Time per request:       106.014 [ms] (mean, across all concurrent requests)
Time per request:       105.587 [ms] (mean, across all concurrent requests)
Time per request:       105.646 [ms] (mean, across all concurrent requests)
Time per request:       105.908 [ms] (mean, across all concurrent requests)
Time per request:       105.717 [ms] (mean, across all concurrent requests)
Time per request:       105.545 [ms] (mean, across all concurrent requests)
Time per request:       105.576 [ms] (mean, across all concurrent requests)
Time per request:       105.586 [ms] (mean, across all concurrent requests)
Time per request:       105.614 [ms] (mean, across all concurrent requests)
Time per request:       105.651 [ms] (mean, across all concurrent requests)
Time per request:       105.439 [ms] (mean, across all concurrent requests)
Time per request:       105.596 [ms] (mean, across all concurrent requests)
Time per request:       105.545 [ms] (mean, across all concurrent requests)
Time per request:       105.561 [ms] (mean, across all concurrent requests)
Time per request:       105.013 [ms] (mean, across all concurrent requests)
Time per request:       104.911 [ms] (mean, across all concurrent requests)
Time per request:       105.023 [ms] (mean, across all concurrent requests)
Time per request:       105.060 [ms] (mean, across all concurrent requests)
Time per request:       104.918 [ms] (mean, across all concurrent requests)
Time per request:       105.049 [ms] (mean, across all concurrent requests)
Time per request:       104.877 [ms] (mean, across all concurrent requests)
Time per request:       104.892 [ms] (mean, across all concurrent requests)
Time per request:       104.945 [ms] (mean, across all concurrent requests)
Time per request:       105.015 [ms] (mean, across all concurrent requests)
Time per request:       105.056 [ms] (mean, across all concurrent requests)
Time per request:       104.849 [ms] (mean, across all concurrent requests)
Time per request:       105.006 [ms] (mean, across all concurrent requests)
Time per request:       105.184 [ms] (mean, across all concurrent requests)
Time per request:       104.828 [ms] (mean, across all concurrent requests)
Time per request:       104.887 [ms] (mean, across all concurrent requests)
Time per request:       104.899 [ms] (mean, across all concurrent requests)
Time per request:       104.882 [ms] (mean, across all concurrent requests)
Time per request:       105.082 [ms] (mean, across all concurrent requests)
Time per request:       104.969 [ms] (mean, across all concurrent requests)
Time per request:       104.882 [ms] (mean, across all concurrent requests)
Time per request:       104.877 [ms] (mean, across all concurrent requests)
Time per request:       104.894 [ms] (mean, across all concurrent requests)
Time per request:       105.024 [ms] (mean, across all concurrent requests)
Time per request:       104.905 [ms] (mean, across all concurrent requests)
Time per request:       104.941 [ms] (mean, across all concurrent requests)
Time per request:       104.969 [ms] (mean, across all concurrent requests)
Time per request:       104.847 [ms] (mean, across all concurrent requests)
Time per request:       104.820 [ms] (mean, across all concurrent requests)
Time per request:       104.941 [ms] (mean, across all concurrent requests)
