Time per request:       215.391 [ms] (mean, across all concurrent requests)
Time per request:       33.006 [ms] (mean, across all concurrent requests)
Time per request:       32.979 [ms] (mean, across all concurrent requests)
Time per request:       32.932 [ms] (mean, across all concurrent requests)
Time per request:       33.120 [ms] (mean, across all concurrent requests)
Time per request:       43.069 [ms] (mean, across all concurrent requests)
Time per request:       33.158 [ms] (mean, across all concurrent requests)
Time per request:       41.363 [ms] (mean, across all concurrent requests)
Time per request:       32.990 [ms] (mean, across all concurrent requests)
Time per request:       35.022 [ms] (mean, across all concurrent requests)
Time per request:       42.604 [ms] (mean, across all concurrent requests)
Time per request:       33.082 [ms] (mean, across all concurrent requests)
Time per request:       42.983 [ms] (mean, across all concurrent requests)
Time per request:       33.171 [ms] (mean, across all concurrent requests)
Time per request:       32.988 [ms] (mean, across all concurrent requests)
Time per request:       33.058 [ms] (mean, across all concurrent requests)
Time per request:       33.433 [ms] (mean, across all concurrent requests)
Time per request:       35.423 [ms] (mean, across all concurrent requests)
Time per request:       40.959 [ms] (mean, across all concurrent requests)
Time per request:       33.343 [ms] (mean, across all concurrent requests)
Time per request:       42.901 [ms] (mean, across all concurrent requests)
Time per request:       31.004 [ms] (mean, across all concurrent requests)
Time per request:       42.808 [ms] (mean, across all concurrent requests)
Time per request:       40.798 [ms] (mean, across all concurrent requests)
Time per request:       34.999 [ms] (mean, across all concurrent requests)
Time per request:       33.005 [ms] (mean, across all concurrent requests)
grep: Uji01-RR05.txt: No such file or directory
