Time per request:       114.560 [ms] (mean, across all concurrent requests)
Time per request:       108.552 [ms] (mean, across all concurrent requests)
Time per request:       108.385 [ms] (mean, across all concurrent requests)
Time per request:       108.437 [ms] (mean, across all concurrent requests)
Time per request:       108.406 [ms] (mean, across all concurrent requests)
Time per request:       106.689 [ms] (mean, across all concurrent requests)
Time per request:       105.973 [ms] (mean, across all concurrent requests)
Time per request:       106.435 [ms] (mean, across all concurrent requests)
Time per request:       106.402 [ms] (mean, across all concurrent requests)
Time per request:       105.965 [ms] (mean, across all concurrent requests)
Time per request:       106.494 [ms] (mean, across all concurrent requests)
Time per request:       106.401 [ms] (mean, across all concurrent requests)
Time per request:       106.499 [ms] (mean, across all concurrent requests)
Time per request:       106.414 [ms] (mean, across all concurrent requests)
Time per request:       106.666 [ms] (mean, across all concurrent requests)
Time per request:       106.433 [ms] (mean, across all concurrent requests)
Time per request:       106.483 [ms] (mean, across all concurrent requests)
Time per request:       106.397 [ms] (mean, across all concurrent requests)
Time per request:       106.420 [ms] (mean, across all concurrent requests)
Time per request:       106.577 [ms] (mean, across all concurrent requests)
Time per request:       106.451 [ms] (mean, across all concurrent requests)
Time per request:       106.448 [ms] (mean, across all concurrent requests)
Time per request:       106.458 [ms] (mean, across all concurrent requests)
Time per request:       106.545 [ms] (mean, across all concurrent requests)
Time per request:       106.454 [ms] (mean, across all concurrent requests)
Time per request:       106.416 [ms] (mean, across all concurrent requests)
Time per request:       106.430 [ms] (mean, across all concurrent requests)
Time per request:       106.511 [ms] (mean, across all concurrent requests)
Time per request:       106.452 [ms] (mean, across all concurrent requests)
Time per request:       106.389 [ms] (mean, across all concurrent requests)
Time per request:       106.419 [ms] (mean, across all concurrent requests)
Time per request:       106.433 [ms] (mean, across all concurrent requests)
Time per request:       106.505 [ms] (mean, across all concurrent requests)
Time per request:       106.089 [ms] (mean, across all concurrent requests)
Time per request:       106.479 [ms] (mean, across all concurrent requests)
Time per request:       105.106 [ms] (mean, across all concurrent requests)
Time per request:       105.418 [ms] (mean, across all concurrent requests)
Time per request:       105.479 [ms] (mean, across all concurrent requests)
Time per request:       105.445 [ms] (mean, across all concurrent requests)
Time per request:       105.487 [ms] (mean, across all concurrent requests)
Time per request:       105.422 [ms] (mean, across all concurrent requests)
Time per request:       105.408 [ms] (mean, across all concurrent requests)
Time per request:       105.177 [ms] (mean, across all concurrent requests)
Time per request:       105.462 [ms] (mean, across all concurrent requests)
Time per request:       105.389 [ms] (mean, across all concurrent requests)
Time per request:       105.442 [ms] (mean, across all concurrent requests)
Time per request:       105.090 [ms] (mean, across all concurrent requests)
Time per request:       105.402 [ms] (mean, across all concurrent requests)
Time per request:       105.531 [ms] (mean, across all concurrent requests)
Time per request:       105.442 [ms] (mean, across all concurrent requests)
Time per request:       105.519 [ms] (mean, across all concurrent requests)
Time per request:       105.406 [ms] (mean, across all concurrent requests)
Time per request:       105.492 [ms] (mean, across all concurrent requests)
Time per request:       105.442 [ms] (mean, across all concurrent requests)
Time per request:       105.527 [ms] (mean, across all concurrent requests)
Time per request:       105.441 [ms] (mean, across all concurrent requests)
Time per request:       105.508 [ms] (mean, across all concurrent requests)
Time per request:       105.460 [ms] (mean, across all concurrent requests)
Time per request:       105.720 [ms] (mean, across all concurrent requests)
Time per request:       105.476 [ms] (mean, across all concurrent requests)
Time per request:       105.466 [ms] (mean, across all concurrent requests)
Time per request:       105.443 [ms] (mean, across all concurrent requests)
Time per request:       105.402 [ms] (mean, across all concurrent requests)
Time per request:       105.415 [ms] (mean, across all concurrent requests)
Time per request:       105.429 [ms] (mean, across all concurrent requests)
Time per request:       104.841 [ms] (mean, across all concurrent requests)
Time per request:       104.807 [ms] (mean, across all concurrent requests)
Time per request:       104.848 [ms] (mean, across all concurrent requests)
Time per request:       104.634 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.831 [ms] (mean, across all concurrent requests)
Time per request:       104.909 [ms] (mean, across all concurrent requests)
Time per request:       104.829 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.810 [ms] (mean, across all concurrent requests)
Time per request:       104.813 [ms] (mean, across all concurrent requests)
Time per request:       104.822 [ms] (mean, across all concurrent requests)
Time per request:       104.864 [ms] (mean, across all concurrent requests)
Time per request:       104.948 [ms] (mean, across all concurrent requests)
Time per request:       104.895 [ms] (mean, across all concurrent requests)
Time per request:       104.827 [ms] (mean, across all concurrent requests)
Time per request:       104.801 [ms] (mean, across all concurrent requests)
Time per request:       104.834 [ms] (mean, across all concurrent requests)
Time per request:       104.908 [ms] (mean, across all concurrent requests)
Time per request:       104.829 [ms] (mean, across all concurrent requests)
Time per request:       104.871 [ms] (mean, across all concurrent requests)
Time per request:       104.833 [ms] (mean, across all concurrent requests)
Time per request:       104.804 [ms] (mean, across all concurrent requests)
Time per request:       104.842 [ms] (mean, across all concurrent requests)
Time per request:       104.812 [ms] (mean, across all concurrent requests)
Time per request:       104.848 [ms] (mean, across all concurrent requests)
Time per request:       104.835 [ms] (mean, across all concurrent requests)
Time per request:       104.844 [ms] (mean, across all concurrent requests)
Time per request:       104.980 [ms] (mean, across all concurrent requests)
Time per request:       104.850 [ms] (mean, across all concurrent requests)
